datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,date,year,month,dayofmonth,quarter,dayofyear,weekofyear,dayofweek,Diff1,Diff2,Diff1_r,d_24,exp_0_05,exp_0_03,exp_0_08
2004-03-11 04:00:00,0.8592832127407186,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,2004-03-11 04:00:00,2004,3,11,1,71,11,3,-0.3999999999999999,0.19999999999999996,-0.3076923076923076,,8.999320034556098,10.047215629862855,7.664252295523888
2004-03-11 05:00:00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,2004-03-11 05:00:00,2004,3,11,1,71,11,3,-0.19999999999999996,0.19999999999999996,-0.18181818181818177,,8.604354032828292,9.778799160966969,7.139112111881977
2004-03-11 06:00:00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,2004-03-11 06:00:00,2004,3,11,1,71,11,3,0.5,0.7,0.3125,,8.254136331186878,9.53343518613796,6.69598314293142
2004-03-11 07:00:00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,2004-03-11 07:00:00,2004,3,11,1,71,11,3,1.6,1.1,0.5,,8.001429514627533,9.34343213055382,6.4163044914969065
2004-03-11 08:00:00,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,2004-03-11 08:00:00,2004,3,11,1,71,11,3,4.8,3.1999999999999997,0.6,,8.001358038896155,9.303129166637206,6.543000132177154
2004-03-11 09:00:00,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,2004-03-11 09:00:00,2004,3,11,1,71,11,3,1.5,-3.3,0.15789473684210525,,8.076290136951346,9.30903529163809,6.779560121602982
2004-03-11 10:00:00,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,2004-03-11 10:00:00,2004,3,11,1,71,11,3,-3.2,-4.7,-0.507936507936508,,7.987475630103779,9.218764232888947,6.741195311874744
2004-03-11 11:00:00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,2004-03-11 11:00:00,2004,3,11,1,71,11,3,-1.2999999999999998,1.9000000000000004,-0.25999999999999995,,7.83810184859859,9.092201305902279,6.6018996869247655
2004-03-11 12:00:00,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,2004-03-11 12:00:00,2004,3,11,1,71,11,3,0.20000000000000018,1.5,0.03846153846153849,,7.7061967561686595,8.97543526672521,6.489747711970785
2004-03-11 13:00:00,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,2004-03-11 13:00:00,2004,3,11,1,71,11,3,2.0999999999999996,1.8999999999999995,0.2876712328767123,,7.685886918360226,8.925172208723453,6.554567895013122
2004-03-11 14:00:00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,2004-03-11 14:00:00,2004,3,11,1,71,11,3,4.2,2.1000000000000005,0.3652173913043478,,7.876592572442215,9.00241704246175,6.950202463412072
2004-03-11 15:00:00,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,2004-03-11 15:00:00,2004,3,11,1,71,11,3,-2.6999999999999993,-6.8999999999999995,-0.3068181818181817,,7.922762943820104,8.996344531187896,7.098186266339106
2004-03-11 16:00:00,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,2004-03-11 16:00:00,2004,3,11,1,71,11,3,-0.5,2.1999999999999993,-0.06024096385542168,,7.941624796629099,8.97545419525226,7.194331365031978
2004-03-11 17:00:00,2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,2004-03-11 17:00:00,2004,3,11,1,71,11,3,2.8999999999999986,3.3999999999999986,0.25892857142857134,6.245833333333334,8.104543556797644,9.042190569394691,7.51478485582942
2004-03-11 18:00:00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,2004-03-11 18:00:00,2004,3,11,1,71,11,3,9.600000000000001,6.700000000000003,0.46153846153846156,6.616666666666667,8.739316378957762,9.394924852312851,8.577602067363067
2004-03-11 19:00:00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,2004-03-11 19:00:00,2004,3,11,1,71,11,3,6.599999999999998,-3.0000000000000036,0.24087591240875905,7.366666666666667,9.672350560009875,9.935077106743464,10.083393901974022
2004-03-11 20:00:00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,2004-03-11 20:00:00,2004,3,11,1,71,11,3,-3.3999999999999986,-9.999999999999996,-0.1416666666666666,7.991666666666667,10.38873303200938,10.35702479354116,11.1967223898161
2004-03-11 21:00:00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,2004-03-11 21:00:00,2004,3,11,1,71,11,3,-11.2,-7.800000000000001,-0.8749999999999999,8.141666666666667,10.50929638040891,10.430314049734926,11.324984598630813
2004-03-11 22:00:00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,2004-03-11 22:00:00,2004,3,11,1,71,11,3,-8.100000000000001,3.099999999999998,-1.723404255319149,8.066666666666668,10.218831561388464,10.258404628242879,10.794985830740348
2004-03-11 23:00:00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,2004-03-11 23:00:00,2004,3,11,1,71,11,3,-2.1,6.000000000000002,-0.8076923076923077,7.979166666666668,9.837889983319041,10.028652489395592,10.13938696428112
2004-03-12 00:00:00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,2004-03-12 00:00:00,2004,3,12,1,72,11,4,3.3000000000000003,5.4,0.5593220338983051,8.075000000000001,9.640995484153088,9.904792914713724,9.800236007138631
2004-03-12 01:00:00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,2004-03-12 01:00:00,2004,3,12,1,72,11,4,0.5,-2.8000000000000003,0.078125,8.204166666666667,9.478945709945434,9.799649127272312,9.528217126567542
2004-03-12 02:00:00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2004-03-12 02:00:00,2004,3,12,1,72,11,4,-2.3000000000000007,-2.8000000000000007,-0.5609756097560978,8.279166666666667,9.20999842444816,9.628659653454141,9.093959756442139
2004-03-12 03:00:00,0.8,889.0,21.0,1.9,574.0,0.8242925048966874,1680.0,0.8242925048966874,1187.0,512.0,7.0,62.3,0.6261,2004-03-12 03:00:00,2004,3,12,1,72,11,4,-2.1999999999999997,0.10000000000000098,-1.157894736842105,8.287500000000001,8.844498503225752,9.396799863850518,8.518442975926767
2004-03-12 04:00:00,0.6556449458816247,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,2004-03-12 04:00:00,2004,3,12,1,72,11,4,-0.7999999999999998,1.4,-0.7272727272727271,8.279166666666667,8.457273578064465,9.147895867935002,7.924967537852626
2004-03-12 05:00:00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,2004-03-12 05:00:00,2004,3,12,1,72,11,4,-0.10000000000000009,0.6999999999999997,-0.10000000000000009,8.275,8.084409899161242,8.903458991896951,7.370970134824416
2004-03-12 06:00:00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,2004-03-12 06:00:00,2004,3,12,1,72,11,4,0.8,0.9000000000000001,0.4444444444444445,8.283333333333335,7.77018940420318,8.690355222140042,6.925292524038463
2004-03-12 07:00:00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,2004-03-12 07:00:00,2004,3,12,1,72,11,4,2.6000000000000005,1.8000000000000005,0.5909090909090909,8.333333333333336,7.60167993399302,8.56164456547584,6.723269122115386
2004-03-12 08:00:00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,2004-03-12 08:00:00,2004,3,12,1,72,11,4,13.499999999999998,10.899999999999999,0.7541899441340781,8.745833333333335,8.116595937293368,8.841795228511565,7.617407592346156
2004-03-12 09:00:00,4.561108489719233,1545.0,,22.1,1353.0,4.561108489719233,767.0,4.561108489719233,2058.0,1588.0,9.2,56.2,0.6561,2004-03-12 09:00:00,2004,3,12,1,72,11,4,4.200000000000003,-9.299999999999995,0.1900452488687784,9.270833333333336,8.8157661404287,9.239541371656218,8.776014984958465
2004-03-12 10:00:00,3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,2004-03-12 10:00:00,2004,3,12,1,72,11,4,-8.100000000000001,-12.300000000000004,-0.5785714285714286,9.591666666666669,9.074977833407264,9.38235513050653,9.19393378616179
2004-03-12 11:00:00,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,2004-03-12 11:00:00,2004,3,12,1,72,11,4,-2.4000000000000004,5.700000000000001,-0.20689655172413796,9.866666666666669,9.2012289417369,9.448884476591335,9.386419083268848
2004-03-12 12:00:00,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,2004-03-12 12:00:00,2004,3,12,1,72,11,4,-1.4000000000000004,1.0,-0.13725490196078435,10.075000000000001,9.251167494650055,9.471417942293593,9.45150555660734
2004-03-12 13:00:00,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,2004-03-12 13:00:00,2004,3,12,1,72,11,4,0.8000000000000007,2.200000000000001,0.0727272727272728,10.229166666666668,9.338609119917553,9.517275404024785,9.575385112078754
2004-03-12 14:00:00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,2004-03-12 14:00:00,2004,3,12,1,72,11,4,1.8000000000000007,1.0,0.14062500000000006,10.283333333333333,9.511678663921675,9.61575714190404,9.833354303112454
2004-03-12 15:00:00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,2004-03-12 15:00:00,2004,3,12,1,72,11,4,1.3999999999999986,-0.40000000000000213,0.09859154929577456,10.508333333333333,9.746094730725591,9.75328442764692,10.182685958863457
2004-03-12 16:00:00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,2004-03-12 16:00:00,2004,3,12,1,72,11,4,-1.5,-2.8999999999999986,-0.11811023622047245,10.691666666666665,9.89378999418931,9.841685894817513,10.384071082154382
2004-03-12 17:00:00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,2004-03-12 17:00:00,2004,3,12,1,72,11,4,-1.0,0.5,-0.08547008547008547,10.712499999999999,9.984100494479843,9.897435317972988,10.489345395582031
2004-03-12 18:00:00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,2004-03-12 18:00:00,2004,3,12,1,72,11,4,7.600000000000001,8.600000000000001,0.3937823834196892,10.649999999999999,10.44989546975585,10.1795122584338,11.19419776393547
2004-03-12 19:00:00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,2004-03-12 19:00:00,2004,3,12,1,72,11,4,-1.1000000000000014,-8.700000000000003,-0.06043956043956052,10.266666666666664,10.837400696268057,10.420126890680784,11.754661942820633
2004-03-12 20:00:00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,2004-03-12 20:00:00,2004,3,12,1,72,11,4,14.400000000000002,15.500000000000004,0.441717791411043,10.624999999999998,11.925530661454655,11.08552308396036,13.422288987394984
2004-03-12 21:00:00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,2004-03-12 21:00:00,2004,3,12,1,72,11,4,-12.5,-26.900000000000002,-0.6218905472636815,10.929166666666665,12.334254128381922,11.35595739144155,13.956505868403386
2004-03-12 22:00:00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,2004-03-12 22:00:00,2004,3,12,1,72,11,4,-5.800000000000001,6.699999999999999,-0.4055944055944056,11.329166666666666,12.432541421962824,11.444278669698303,13.983985398931116
2004-03-12 23:00:00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,2004-03-12 23:00:00,2004,3,12,1,72,11,4,7.5,13.3,0.3440366972477064,12.129166666666665,12.900914350864682,11.754950309607354,14.609266567016627
2004-03-13 00:00:00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,2004-03-13 00:00:00,2004,3,13,1,73,11,5,-12.200000000000001,-19.700000000000003,-1.2708333333333335,12.283333333333333,12.735868633321447,11.690301800319133,14.208525241655298
2004-03-13 01:00:00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,2004-03-13 01:00:00,2004,3,13,1,73,11,5,-2.1999999999999993,10.000000000000002,-0.2972972972972972,12.325000000000001,12.469075201655373,11.56159274630956,13.663843222322875
2004-03-13 02:00:00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2004-03-13 02:00:00,2004,3,13,1,73,11,5,-2.0,0.1999999999999993,-0.37037037037037035,12.379166666666665,12.115621441572603,11.376744963920272,13.002735764537046
2004-03-13 03:00:00,1.7,1172.0,46.0,5.4,783.0,1.6814442922563213,1179.0,1.6814442922563213,1380.0,996.0,7.8,67.5,0.7173,2004-03-13 03:00:00,2004,3,13,1,73,11,5,0.0,2.0,0.0,12.524999999999999,11.779840369493972,11.197442615002664,12.394516903374084
2004-03-13 04:00:00,1.7731100103196162,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,2004-03-13 04:00:00,2004,3,13,1,73,11,5,0.7999999999999998,0.7999999999999998,0.1290322580645161,12.737499999999997,11.500848351019274,11.047519336552584,11.898955551104159
2004-03-13 05:00:00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,2004-03-13 05:00:00,2004,3,13,1,73,11,5,-3.6,-4.4,-1.3846153846153846,12.804166666666665,11.05580593346831,10.794093756456006,11.155039107015826
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,2004-03-13 06:00:00,2004,3,13,1,73,11,5,0.2999999999999998,3.9,0.10344827586206891,12.849999999999996,10.648015636794893,10.557270943762324,10.494635978454559
2004-03-13 07:00:00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,2004-03-13 07:00:00,2004,3,13,1,73,11,5,2.1999999999999997,1.9,0.4313725490196078,12.879166666666665,10.370614854955148,10.393552815449455,10.063065100178195
2004-03-13 08:00:00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,2004-03-13 08:00:00,2004,3,13,1,73,11,5,6.700000000000001,4.500000000000002,0.5677966101694916,12.625,10.44208411220739,10.43574623098597,10.202019892163941
2004-03-13 09:00:00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,2004-03-13 09:00:00,2004,3,13,1,73,11,5,3.299999999999999,-3.400000000000002,0.21854304635761582,12.333333333333334,10.67497990659702,10.57567384405639,10.593858300790826
2004-03-13 10:00:00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,2004-03-13 10:00:00,2004,3,13,1,73,11,5,-2.1999999999999993,-5.499999999999998,-0.17054263565891467,12.2875,10.786230911267168,10.645403628734698,10.77834963672756
2004-03-13 11:00:00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,2004-03-13 11:00:00,2004,3,13,1,73,11,5,3.200000000000001,5.4,0.19875776397515532,12.475,11.051919365703808,10.809041519872657,11.204081665789356
2004-03-13 12:00:00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,2004-03-13 12:00:00,2004,3,13,1,73,11,5,-2.1000000000000014,-5.3000000000000025,-0.1500000000000001,12.633333333333333,11.199323397418617,10.904770274276478,11.427755132526208
2004-03-13 13:00:00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,2004-03-13 13:00:00,2004,3,13,1,73,11,5,-1.6999999999999993,0.40000000000000213,-0.13821138211382109,12.6875,11.254357227547686,10.946627166048183,11.497534721924112
2004-03-13 14:00:00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,2004-03-13 14:00:00,2004,3,13,1,73,11,5,-3.700000000000001,-2.0000000000000018,-0.43023255813953504,12.512500000000001,11.121639366170301,10.876228351066736,11.265731944170184
2004-03-13 15:00:00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,2004-03-13 15:00:00,2004,3,13,1,73,11,5,0.5999999999999996,4.300000000000001,0.0652173913043478,12.304166666666667,11.025557397861785,10.825941500534734,11.100473388636571
2004-03-13 16:00:00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,2004-03-13 16:00:00,2004,3,13,1,73,11,5,1.0,0.40000000000000036,0.09803921568627452,12.200000000000001,10.984279527968695,10.807163255518692,11.028435517545647
2004-03-13 17:00:00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,2004-03-13 17:00:00,2004,3,13,1,73,11,5,0.40000000000000036,-0.5999999999999996,0.03773584905660381,12.154166666666669,10.965065551570259,10.80094835785313,10.994160676141997
2004-03-13 18:00:00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,2004-03-13 18:00:00,2004,3,13,1,73,11,5,4.9,4.5,0.31612903225806455,11.995833333333335,11.191812273991745,10.941919907117535,11.354627822050638
2004-03-13 19:00:00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,2004-03-13 19:00:00,2004,3,13,1,73,11,5,4.100000000000001,-0.7999999999999989,0.20918367346938782,12.054166666666669,11.612221660292159,11.201662309904009,12.014257596286587
2004-03-13 20:00:00,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,2004-03-13 20:00:00,2004,3,13,1,73,11,5,-0.40000000000000213,-4.5000000000000036,-0.020833333333333447,11.495833333333335,11.991610577277552,11.441612440606889,12.58911698858366
2004-03-13 21:00:00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,2004-03-13 21:00:00,2004,3,13,1,73,11,5,-0.8999999999999986,-0.49999999999999645,-0.04918032786885238,11.420833333333334,12.307030048413672,11.647364067388681,13.045987629496969
2004-03-13 22:00:00,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,2004-03-13 22:00:00,2004,3,13,1,73,11,5,-5.200000000000001,-4.3000000000000025,-0.3969465648854963,11.370833333333335,12.346678545992987,11.69094314536702,13.050308619137212
2004-03-13 23:00:00,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,2004-03-13 23:00:00,2004,3,13,1,73,11,5,-2.1999999999999993,3.0000000000000018,-0.20183486238532103,10.916666666666666,12.274344618693336,11.66721485100601,12.878283929606235
2004-03-14 00:00:00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,2004-03-14 00:00:00,2004,3,14,1,74,11,6,0.09999999999999964,2.299999999999999,0.00909090909090906,10.975,12.210627387758668,11.64719840547583,12.728021215237737
2004-03-14 01:00:00,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,2004-03-14 01:00:00,2004,3,14,1,74,11,6,0.9000000000000004,0.8000000000000007,0.07563025210084036,11.1625,12.195096018370736,11.654782453311554,12.661779518018719
2004-03-14 02:00:00,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2004-03-14 02:00:00,2004,3,14,1,74,11,6,-3.3000000000000007,-4.200000000000001,-0.3837209302325582,11.295833333333334,12.015341217452198,11.563138979712207,12.336837156577221
2004-03-14 03:00:00,2.4,1344.0,132.0,9.7,968.0,2.4519350517721805,921.0,2.4519350517721805,1620.0,1278.0,11.6,63.4,0.8674,2004-03-14 03:00:00,2004,3,14,1,74,11,6,1.0999999999999996,4.4,0.11340206185567007,11.475000000000001,11.899574156579586,11.507244810320842,12.125890184051045
2004-03-14 04:00:00,1.4855415393394016,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,2004-03-14 04:00:00,2004,3,14,1,74,11,6,-4.499999999999999,-5.599999999999999,-0.8653846153846152,11.433333333333335,11.564595448750605,11.318027466011216,11.571818969326962
2004-03-14 05:00:00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,2004-03-14 05:00:00,2004,3,14,1,74,11,6,-1.5,2.999999999999999,-0.4054054054054054,11.479166666666666,11.171365676313075,11.08948664203088,10.942073451780805
2004-03-14 06:00:00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,2004-03-14 06:00:00,2004,3,14,1,74,11,6,-1.2000000000000002,0.2999999999999998,-0.4800000000000001,11.4625,10.73779739249742,10.831802042769953,10.26670757563834
2004-03-14 07:00:00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,2004-03-14 07:00:00,2004,3,14,1,74,11,6,-0.10000000000000009,1.1,-0.041666666666666706,11.35,10.320907522872547,10.578847981486852,9.637370969587273
2004-03-14 08:00:00,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,2004-03-14 08:00:00,2004,3,14,1,74,11,6,1.8000000000000003,1.9000000000000004,0.4285714285714286,11.033333333333331,10.01486214672892,10.387482542042246,9.202381292020291
2004-03-14 09:00:00,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,2004-03-14 09:00:00,2004,3,14,1,74,11,6,2.2,0.3999999999999999,0.34375,10.670833333333329,9.834119039392473,10.26785806578098,8.978190788658669
2004-03-14 10:00:00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,2004-03-14 10:00:00,2004,3,14,1,74,11,6,2.1999999999999993,-8.881784197001252e-16,0.25581395348837205,10.491666666666664,9.772413087422848,10.21782232380755,8.947935525565976
